Date,Total,Deaths,Median Age (Range),0 to 17,18 to 44,45 to 64,65 to 74,75 and over,Bronx,Brooklyn,Manhattan,Male,Female,Queens,Staten Island
2020-03-24,14776,131,45,374,6786,4906,1591,1109,2328,4237,2887,8379,6374,4364,953
2020-03-25,15597,192,46,384,7094,5194,1689,1227,2505,4407,3013,8838,6736,4667,999
